UMAP_1,UMAP_2,dataset_id,tissue_type,FracPixInImgBG,FracImgOfCells,Otsu:CD11c,Otsu:CD21,Otsu:CD4,Otsu:CD8,Otsu:Ki67,M/SD:CD11c,M/SD:CD21,M/SD:CD4,M/SD:CD8,M/SD:Ki67,meanInt:CD11c,meanInt:CD21,meanInt:CD4,meanInt:CD8,meanInt:Ki67
3.066947,17.450384,a40043a8f837186f5a8827e44389c8d4,small_intestine,0.6496348781391591,0.2809967203242789,337.3587486283917,205.53798562621716,37.23864388600224,256.69188176162834,150.60617465804583,0.0869600235171358,0.1446028833586977,0.3016718388214161,0.1049278614234616,0.1843569322608604,745296258,151822973,92746888,820698417,98700407
7.0006576,13.9808035,af721c3938f621be2222df891f2e2a37,thymus,0.2018614407566218,0.7254698268983462,3.8001026713815937,7.147576111667356,5.506666592886917,5.473503570851478,19.79375933189975,0.9375499903812822,0.9242157337798996,1.1541161868347318,0.9801976494516412,0.3916476589138479,156129774,171740199,254707584,273127643,306263736
4.8628287,15.528174,aedc30c204870180673b6ece299f2eb1,spleen,0.3891101219074117,0.6521305827517152,66.79593267442222,24.58321501154472,169.4163456660201,63.72905166353463,101.43481501150376,0.2038742209733458,0.3328460587333262,0.1346160492564686,0.2187807496726016,0.1678390079338775,133782540,128393588,144506487,163835192,159579180
6.691971,16.733213,89806365526ba5b26b07a8383e5bfea7,small_intestine,0.4883434177654081,0.25956930971113373,41.45905238220905,94.9092147821978,16.03042060443852,38.73986912338468,106.24613106127498,0.3338699752574097,0.2626194311927462,0.4426101621630213,0.3566600625939823,0.2446492128115245,59940624,67267632,54265523,65699571,59359388
3.221051,17.573986,62e705f60add30b663df847c18003e36,small_intestine,0.6501028207166801,0.28139194957115043,338.3294083715612,205.41995951328263,37.32510614578404,256.7878745923824,151.19755056931697,0.0868302734688614,0.1446297178376314,0.3008583163580606,0.1049257754984733,0.1837651213731617,739317680,151973588,92770995,816739568,98328311
4.1545753,17.21011,76d3efd17b6fc83aaac13e961824c5ae,large_intestine,0.7618861681203922,0.15192163447836093,45.819918884139724,242.9847437377701,51.46012050783397,373.4347418289882,188.3900834701292,0.244500661568489,0.117100803432354,0.2250578679897437,0.1091532791832838,0.1715314132163116,156825711,250814039,170598422,251739686,165421201
6.413374,15.2862835,1c33472c68c4fb40f531b39bf6310f2d,lymph_nodes,0.39223590863051283,0.5492895597633063,7.48862774732308,37.34988288938128,10.134979846748202,14.667536306759418,148.39090469335756,0.6740415641231761,0.2873960177597919,0.7016446591955909,0.484594828290771,0.1884016232087167,228024313,336492932,595341618,569903876,154158056
3.5780108,15.845385,76e46e1fe30f3a911d3cf5c1e4530351,small_intestine,0.36641897888187464,0.5035691724653204,463.68896203912993,502.2621335748072,25.71219298908189,20.727926888991863,415.1314790837845,0.0777867277574816,0.114342693417452,0.3308199727135024,0.3860559406231366,0.0807435668570173,506460204,92925533,108113368,429954052,1105698233
6.8387237,15.771064,aaaa3d9cde1cafa3723212394d5401dc,small_intestine,0.34862730630964495,0.48330206780541324,41.44613216158943,97.322843951498,9.76610311558554,16.59445012270089,57.78230870200308,0.3426527067062026,0.3533803827817406,0.6240294942864656,0.4315231091296874,0.3524128900200677,73272670,75724773,81006826,189542186,80563488
7.507257,16.73632,2be7392c6b79793862c1f49f369b0d52,large_intestine,0.548278655908475,0.11117233228473151,43.52529389302785,25.381838488608377,30.53997973934185,24.112193999932565,82.02070494653614,0.2939065734976741,0.513844833580206,0.3772597794286147,0.4791083858829233,0.3895268634652866,46060886,61027439,46236084,57227394,56267899
6.552346,17.399296,ab368441a254b696f2861738b692a5b7,small_intestine,0.5900257003826741,0.18200464076164996,17.88625003787997,144.27178763226394,13.133842757237009,61.422430932038,153.67088292054842,0.3756593966813504,0.2867232563050957,0.4916672934316095,0.2239648682194399,0.2637888314626384,60943450,59079095,62607251,77449719,68386125
7.342776,14.438532,65f12a80f54438ea3bf5c7200ecd70a3,thymus,0.22137300323941306,0.41102097548884237,16.246131089009214,6.229338051647608,8.294478985984197,8.623715009979785,7.879513658692743,0.4426601466289177,0.8608068608323919,0.5840471906560395,0.7045159139617438,0.7174543282609851,158107992,166354219,138199728,154354652,157670091
3.654429,17.616028,31c38b51c975d50d7faeb829507223ff,small_intestine,0.4100277542974311,0.36227509257588375,217.87434093412003,198.95715967896248,98.38031987303556,113.2542716723289,301.27702510537097,0.1081201070144176,0.1393586696768128,0.1783615370386685,0.1616603345341051,0.1048835846967219,907931056,114531687,162966712,895287409,202846328
6.935457,17.343592,89c34a87cdd795017fa004b2ed0fabff,large_intestine,0.5425168351445697,0.27560255766627717,20.96525976745692,97.17409694247388,18.949033188491587,85.25985634699369,58.15716155455988,0.352509853815905,0.2664477334491208,0.4314140965031653,0.2451921877832392,0.3839198301964158,135797401,99462915,100625534,112632541,92317914
2.4400904,16.694572,0737895053a2653f92d205ffc4115629,small_intestine,0.8531977447529123,0.11914942549729127,1605.7026207289491,521.1860429804159,475.7371978911096,454.0349047292099,1559.878495221963,0.0410709858006117,0.0676302483973799,0.0811257544835966,0.0828906368844215,0.0416610278228649,812935658,332645348,1459677835,1975050820,906640847
8.343567,16.45121,d0e87cb51bd723c71d053746fd0955d3,large_intestine,0.7739146650708603,0.18113308834182507,342.5817855027877,65.62428290034248,15.824986839340127,14.349597779564403,70.21585836121004,0.0869197374564095,0.296537088596073,0.5655732331466331,0.6544690409814367,0.2908318567900522,914055672,110473632,78398965,53287056,61908208
6.0277896,17.341139,f20bdb43ae78d3d70e4128bc1b36a410,small_intestine,0.5804344983207389,0.2395527287993283,19.217929556493708,125.35444844447623,15.388072448484998,53.03293844794008,104.10931883485348,0.4051002689667927,0.3050160522101891,0.4081128795772418,0.2316859644934729,0.1969570829026944,60571367,55207012,56600447,91561901,89312781
2.7997522,16.590916,e744205427e60038a142bb7cef6dfe3e,large_intestine,0.819929407183794,0.3070937386898299,649.4183898848264,10538.876167205202,323.39469970173,1473.4412948843724,190.74742883569556,0.0743720033235553,0.0230758789667945,0.1151420398816839,0.0506243978311848,0.1177449355162046,733484938,704407688,840094986,689601094,470724521
6.4734187,17.85481,7ae1f91c183daa18d614ccfc5345cf7f,small_intestine,0.6722450029242105,0.23684392774484397,11.53811467131654,102.39454386926592,13.283383791033812,35.7377871530883,89.60289452567679,0.4997877016528894,0.2211579853186709,0.4635249440070541,0.2823957599486803,0.2173417797651244,68368780,71576333,70558191,109428300,130222094
8.149313,15.610117,f4caf0e7ea613babe895f82485a8784b,large_intestine,0.48762773583119084,0.30745955769514555,190.3571892882705,6.536008183909246,4.62562909843304,7.592286020382978,27.37643445060878,0.1261037264704343,0.7599430527183696,0.8794130283859353,0.7430391150309623,0.4764774528643358,458159150,70960978,70758106,52035662,56778552
3.2393248,15.622598,e3aa11ba0218456e2cc9302f6b1d9d1c,lymph_nodes,0.6671517480976791,0.3314809453614207,60.93096607080656,17.412180687657532,16.74259533265824,26.16014233257502,24.959690641326976,0.2227499969361927,0.4905668389862291,0.3955497569445993,0.3524193068127679,0.4297964811306159,980403079,830363070,542520992,892364671,1235901382
3.220088,16.936794,89409b74d945fff98bb60afa9753cd0d,small_intestine,0.7735795402057527,0.21778179718664706,728.9273093592176,4419.372864227389,341.32001815768297,368.84057497278246,10.635455625071756,0.058674801488089,0.0545191023688556,0.0905796740554285,0.0866414270316039,0.574094413422054,629778988,587087930,905308126,1047384940,75040225
4.5122714,16.375866,e0ba24d0c4dab528e46aab3f67a1aae8,spleen,0.8179952045146018,0.7791992856401506,333.6497866385968,34.941809886718545,3539.908359883094,205.1019289265967,7335.341067168868,0.0986263052585195,0.2914724415551674,0.0288734115558261,0.1130237044325356,0.0255371480514333,95785841,136361231,117900284,254728143,177216748
2.5606856,16.92045,5044fc738f8352b2e527daec45e1572d,large_intestine,0.793324140065888,0.11819116534314773,366.5230827095568,29.265865561093733,471.4496670854684,435.3529045363825,1089.657473707353,0.083031184820663,0.3487533761100467,0.079988974040978,0.0793230986328676,0.0494868361876336,477369274,88626967,1458781821,1078269638,563985592
5.495912,14.78643,d73a864f5ad6bdffdf148f43423e2a01,spleen,0.08174445483734269,0.8636197896248367,99.70215247847226,154.59195662482853,20.79339523898424,21.9635275045697,263.9010502822421,0.1456914702686375,0.1302035082715454,0.4854149468448071,0.3885915314637162,0.1069756810131669,93890887,143546117,66767896,105565540,287201072
4.8826857,15.912279,2c3540e2b1040c06612698d80ecab56a,spleen,0.48460719289520143,0.610260673594206,217.8575282053769,214.10716472920203,120.11800682674624,67.33755049723318,153.31064951090448,0.1123980720231401,0.1154117963633594,0.1510581669823366,0.2065251370571236,0.1429757364351544,120371159,117213158,120786307,144500936,134423296
